,STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08
0,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-01,2.46,,0.0,,64,43,10.0,30.0,8.1,11.0,,,1.0
1,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-02,2.01,,0.0,,65,47,270.0,30.0,6.0,8.9,,,
2,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-03,0.67,,0.0,,62,44,150.0,150.0,10.1,14.1,,,
3,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-04,1.34,,1.0,,69,55,270.0,280.0,8.1,14.1,,,
4,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-05,2.46,,1.0,,59,49,140.0,140.0,10.1,16.1,1.0,1.0,
5,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-06,2.91,,1.0,,58,46,80.0,290.0,12.1,17.0,1.0,,
6,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-07,1.79,,1.0,,59,45,20.0,10.0,10.1,18.1,1.0,,
7,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-08,2.24,,0.0,,62,44,280.0,340.0,8.1,16.1,,,
8,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-09,1.12,,0.0,,60,46,90.0,100.0,6.0,10.1,,,
9,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-10,1.12,,0.0,,62,51,270.0,270.0,6.9,10.1,,,
10,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-11,0.22,,0.0,,64,47,260.0,280.0,6.9,12.1,1.0,,1.0
11,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-12,1.57,,0.0,,70,46,270.0,270.0,10.1,16.1,,,
12,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-13,0.22,,0.0,,66,43,280.0,270.0,6.9,11.0,,,1.0
13,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-14,1.57,,0.0,,65,50,270.0,280.0,8.1,13.0,1.0,,1.0
14,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-15,1.12,,0.0,,65,50,270.0,120.0,6.0,8.9,1.0,,1.0
15,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-16,1.12,,0.0,,67,54,280.0,270.0,8.1,11.0,1.0,,
16,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-17,1.12,,0.0,,68,49,270.0,270.0,8.9,15.0,1.0,1.0,1.0
17,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-18,1.34,,0.0,,63,55,270.0,270.0,6.9,12.1,1.0,1.0,1.0
18,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-19,0.89,,1.0,,64,54,270.0,280.0,6.9,12.1,1.0,,1.0
19,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-20,1.12,,1.0,,69,54,270.0,270.0,6.0,11.0,1.0,1.0,1.0
20,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-21,1.12,,0.0,,77,50,280.0,280.0,8.1,11.0,1.0,1.0,
21,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-22,1.12,,0.0,,71,50,270.0,270.0,6.0,10.1,1.0,,
22,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-23,1.12,,0.0,,64,54,350.0,360.0,8.9,15.0,1.0,,1.0
23,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-24,1.12,,0.0,,66,47,270.0,270.0,8.1,14.1,,,
24,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-25,0.67,,0.0,,71,50,270.0,280.0,8.1,13.0,,,
25,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-26,1.34,,0.0,,73,47,280.0,270.0,8.1,14.1,,,
26,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-27,1.57,,0.0,,73,52,280.0,270.0,6.9,12.1,,,
27,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-28,0.67,,0.0,,74,50,270.0,280.0,8.9,14.1,,,
28,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-29,0.89,,0.0,,72,50,100.0,270.0,6.9,14.1,,,
29,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-30,0.89,,0.0,,66,55,150.0,110.0,6.9,8.9,1.0,,1.0
30,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-01-31,4.47,,1.0,,59,50,270.0,280.0,16.1,32.0,1.0,,
31,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-01,6.04,,0.0,,58,43,320.0,340.0,16.1,32.0,,,
32,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-02,1.12,,0.0,,62,41,280.0,260.0,8.1,15.0,,,
33,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-03,1.12,,0.0,,65,43,270.0,280.0,8.1,14.1,,,
34,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-04,0.89,,0.0,,70,46,270.0,280.0,6.9,13.0,,,
35,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-05,0.89,,0.0,,76,46,90.0,260.0,6.0,8.9,,,
36,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-06,0.89,,0.0,,77,50,270.0,270.0,8.1,12.1,,,1.0
37,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-07,1.12,,0.0,,84,51,270.0,270.0,6.9,10.1,,,
38,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-08,0.67,,0.0,,88,53,100.0,110.0,6.9,10.1,,,1.0
39,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-09,0.67,,0.0,,89,56,280.0,250.0,8.1,11.0,,,1.0
40,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-10,1.57,,0.0,,88,61,270.0,270.0,8.1,12.1,,,
41,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-11,2.24,,0.0,,87,59,280.0,270.0,6.9,10.1,,,1.0
42,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-12,0.67,,0.0,,85,56,280.0,270.0,8.1,12.1,,,
43,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-13,1.12,,0.0,,75,51,270.0,260.0,8.1,11.0,1.0,1.0,1.0
44,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-14,0.22,,0.0,,79,48,270.0,260.0,6.9,10.1,1.0,,1.0
45,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-15,0.89,,0.0,,89,55,270.0,270.0,8.1,13.0,,,
46,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-16,1.79,,0.0,,90,58,280.0,280.0,8.9,15.0,,,1.0
47,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-17,2.46,,1.0,,76,55,90.0,90.0,12.1,18.1,1.0,,
48,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-18,2.24,,1.0,,68,56,270.0,280.0,8.9,13.0,1.0,,
49,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-19,0.67,,0.0,,69,51,270.0,280.0,8.1,13.0,,,
50,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-20,1.34,,0.0,,72,50,270.0,270.0,8.1,12.1,,,1.0
51,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-21,0.22,,0.0,,73,50,280.0,280.0,8.1,13.0,,,
52,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-22,1.57,,0.0,,78,51,270.0,270.0,8.1,14.1,1.0,,
53,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-23,2.01,,0.0,,83,55,270.0,270.0,8.1,13.0,,,1.0
54,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-24,2.01,,0.0,,81,58,280.0,270.0,8.1,13.0,,,
55,USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2016-02-25,2.01,,0.0,,83,57,280.0,280.0,8.9,14.1,,,1.0
